"","Bolsonaro","Lula","Ciro","Tebet"
"8118","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"6670","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"9049","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"4458","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"67","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4551","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"5444","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"1963","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"8499","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"4935","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"5773","NEGATIVO","POSITIVO","POSITIVO","POSITIVO"
"5512","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"2300","POSITIVO","NEGATIVO","POSITIVO","NEGATIVO"
"1386","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"6267","POSITIVO","POSITIVO","POSITIVO","NEUTRO"
"1211","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"5565","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"4069","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"5184","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"4637","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"7576","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"8388","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"1202","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"4182","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"4210","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"5997","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"326","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"4729","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"564","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"3908","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"5868","NEGATIVO","NEUTRO","POSITIVO","NEGATIVO"
"8114","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"4885","POSITIVO","NEUTRO","NEGATIVO","POSITIVO"
"6532","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"502","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7791","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"5098","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"1768","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7678","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"7101","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"4391","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4609","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"5685","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"7725","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"8950","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"7310","NEGATIVO","NEGATIVO","POSITIVO","POSITIVO"
"9117","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"8491","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"6500","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3289","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"283","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"4389","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2642","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
