"","word","freq"
"bolsonaro","bolsonaro",9033
"bonner","bonner",1302
"globo","globo",691
"entrevista","entrevista",679
"renata","renata",664
"nacional","nacional",497
"cara","cara",493
"presidente","presidente",444
"jornal","jornal",430
"jornalnacional","jornalnacional",377
"falar","falar",348
"lula","lula",327
"falando","falando",313
"brasil","brasil",293
"deus","deus",283
"comendo","comendo",276
"jair","jair",268
"bolsonaronojn","bolsonaronojn",265
"vivo","vivo",265
"fala","fala",264
"nada","nada",256
"hoje","hoje",255
"gente","gente",253
"sendo","sendo",238
"vergonha","vergonha",231
"assistir","assistir",228
"agora","agora",216
"william","william",216
"pergunta","pergunta",207
"sobre","sobre",191
"tão","tão",188
"merda","merda",187
"vou","vou",182
"ainda","ainda",180
"aqui","aqui",162
"mentiroso","mentiroso",162
"globolixo","globolixo",158
"perguntas","perguntas",153
"fazer","fazer",151
"lixo","lixo",149
"rede","rede",149
"tudo","tudo",147
"tomar","tomar",144
"anos","anos",141
"sabe","sabe",141
"jairbolsonaro","jairbolsonaro",137
"bem","bem",133
"vendo","vendo",133
"eleições","eleições",132
"forabolsonaro","forabolsonaro",132
"homem","homem",132
"desse","desse",130
"pqp","pqp",129
"boca","boca",128
"assim","assim",123
"burro","burro",122
"governo","governo",122
"povo","povo",122
"queria","queria",120
"vamos","vamos",119
"coisa","coisa",118
"quero","quero",116
"pessoas","pessoas",113
"minutos","minutos",112
"pode","pode",112
"bom","bom",111
"mente","mente",109
"alguém","alguém",108
"jantando","jantando",108
"pandemia","pandemia",108
"assistindo","assistindo",107
"debate","debate",107
"nunca","nunca",107
"passar","passar",107
"kkkkk","kkkkk",106
"mundo","mundo",105
"ficar","ficar",104
"sempre","sempre",104
"dar","dar",103
"fazendo","fazendo",103
"parece","parece",101
"todo","todo",101
"macetando","macetando",100
"responde","responde",100
"tanto","tanto",99
"caralho","caralho",98
"dia","dia",98
"responder","responder",97
"contra","contra",96
"economia","economia",93
"falou","falou",93
"pau","pau",92
"país","país",92
"melhor","melhor",91
"passando","passando",91
"puta","puta",91
