"","word","freq"
"ciro","ciro",8257
"gomes","gomes",1755
"lula","lula",779
"bolsonaro","bolsonaro",671
"cironojn","cironojn",663
"entrevista","entrevista",565
"fala","fala",555
"bem","bem",524
"hoje","hoje",453
"brasil","brasil",406
"falar","falar",393
"jornalnacional","jornalnacional",376
"falando","falando",350
"candidato","candidato",340
"cara","cara",314
"bonner","bonner",296
"votar","votar",289
"presidente","presidente",287
"ontem","ontem",270
"vou","vou",252
"inteligente","inteligente",241
"voto","voto",239
"tão","tão",216
"sabe","sabe",215
"cirogomes","cirogomes",211
"diferença","diferença",211
"agora","agora",208
"gente","gente",208
"bom","bom",194
"sobre","sobre",189
"fazer","fazer",185
"nacional","nacional",183
"jornal","jornal",179
"melhor","melhor",174
"renata","renata",173
"queria","queria",170
"país","país",169
"vamos","vamos",166
"propostas","propostas",165
"acho","acho",164
"turno","turno",162
"cironogueira","cironogueira",156
"povo","povo",156
"assistir","assistir",155
"preparado","preparado",154
"parece","parece",152
"pena","pena",150
"governo","governo",149
"tudo","tudo",149
"gosto","gosto",148
"coisa","coisa",141
"ainda","ainda",140
"demais","demais",140
"pode","pode",139
"mundo","mundo",135
"ideias","ideias",134
"todo","todo",132
"globo","globo",131
"nada","nada",128
"política","política",118
"deus","deus",117
"menos","menos",116
"anos","anos",115
"ganhar","ganhar",115
"assim","assim",113
"dar","dar",113
"eleição","eleição",112
"chance","chance",111
"dia","dia",110
"tempo","tempo",110
"nele","nele",109
"projeto","projeto",109
"bozo","bozo",108
"nunca","nunca",106
"segundo","segundo",105
"debate","debate",103
"boa","boa",101
"vez","vez",101
"sabatina","sabatina",100
"tirar","tirar",98
"presidência","presidência",97
"report","report",97
"minority","minority",96
"vezes","vezes",96
"tanto","tanto",95
"todos","todos",95
"diferente","diferente",91
"hora","hora",91
"nome","nome",91
"outro","outro",90
"vão","vão",89
"plano","plano",86
"pouco","pouco",86
"falou","falou",85
"grandes","grandes",84
"nessa","nessa",83
"ninguém","ninguém",81
"alguém","alguém",80
"perguntas","perguntas",80
"dois","dois",79
"sempre","sempre",79
"cada","cada",78
"kkkk","kkkk",78
"sendo","sendo",78
"outros","outros",77
"porque","porque",77
"primeiro","primeiro",77
"sei","sei",77
"político","político",76
"proposta","proposta",76
"quero","quero",75
"brasileiro","brasileiro",74
"dizer","dizer",74
"homem","homem",74
"oratória","oratória",73
