"","word","freq"
"tebet","tebet",5244
"simone","simone",3391
"lula","lula",582
"entrevista","entrevista",548
"ciro","ciro",540
"candidata","candidata",367
"hoje","hoje",342
"bolsonaro","bolsonaro",338
"fala","fala",338
"bem","bem",335
"mulher","mulher",298
"mdb","mdb",220
"brasil","brasil",212
"jornal","jornal",211
"votar","votar",211
"nacional","nacional",201
"sabatina","sabatina",201
"sobre","sobre",201
"falando","falando",187
"voto","voto",187
"presidente","presidente",183
"partido","partido",181
"bonner","bonner",177
"agora","agora",173
"jornalnacional","jornalnacional",171
"vou","vou",171
"falar","falar",158
"simonenojn","simonenojn",158
"melhor","melhor",148
"presidência","presidência",146
"nada","nada",129
"coisa","coisa",123
"boa","boa",122
"renata","renata",121
"gente","gente",120
"parece","parece",120
"acho","acho",114
"dilma","dilma",114
"fazer","fazer",114
"governo","governo",113
"turno","turno",111
"assistir","assistir",109
"política","política",109
"sabe","sabe",105
"cara","cara",104
"gomes","gomes",104
"globo","globo",100
"cpi","cpi",99
"mulheres","mulheres",98
"tão","tão",97
"ninguém","ninguém",96
"tempo","tempo",96
"ainda","ainda",95
"candidatos","candidatos",94
"diz","diz",89
"país","país",89
"aqui","aqui",88
"debate","debate",87
"pergunta","pergunta",85
"pode","pode",85
"tudo","tudo",85
"candidatura","candidatura",84
"vão","vão",83
"alguém","alguém",82
"assistindo","assistindo",82
"votou","votou",81
"porque","porque",80
"vamos","vamos",80
"falou","falou",79
"votos","votos",79
"menos","menos",76
"todos","todos",76
"dia","dia",74
"propostas","propostas",74
"república","república",74
"favor","favor",72
"pena","pena",72
"primeira","primeira",72
"segundo","segundo",72
"todo","todo",72
"contra","contra",71
"assim","assim",70
"minutos","minutos",70
"sendo","sendo",70
"dessa","dessa",69
"eleições","eleições",69
"simonetebetbr","simonetebetbr",69
"bom","bom",68
"disse","disse",68
"sei","sei",68
"demais","demais",67
"nessa","nessa",67
"via","via",67
"chance","chance",66
"liberais","liberais",66
"perguntas","perguntas",66
"eleição","eleição",65
"outros","outros",64
"dar","dar",63
"corrupção","corrupção",62
"gosto","gosto",62
"senadora","senadora",62
"povo","povo",61
"discurso","discurso",60
"nunca","nunca",60
"anos","anos",59
"dois","dois",59
"mãe","mãe",59
"vendo","vendo",59
"maior","maior",58
"vez","vez",58
"deve","deve",57
"ontem","ontem",57
"oratória","oratória",56
"campanha","campanha",54
"economistas","economistas",53
"mesma","mesma",53
"mundo","mundo",53
"primeiro","primeiro",53
"queria","queria",53
"candidato","candidato",52
"gostei","gostei",51
"nela","nela",50
"onde","onde",50
"rmotta","rmotta",50
"alicegrizzo","alicegrizzo",49
"hein","hein",49
"apoio","apoio",48
"ganhar","ganhar",48
"coitada","coitada",47
"dizer","dizer",47
"mal","mal",47
"pessoas","pessoas",47
"simonetebetnojn","simonetebetnojn",47
"tirar","tirar",47
"vota","vota",47
"votaria","votaria",47
"começou","começou",46
"deus","deus",46
"eleicoes","eleicoes",46
"momento","momento",46
"qualquer","qualquer",46
"quero","quero",46
"educação","educação",45
"golpe","golpe",45
"jovem","jovem",45
"eleitoral","eleitoral",44
"kkkkk","kkkkk",44
"plano","plano",44
"sempre","sempre",44
"deu","deu",43
"entrevistas","entrevistas",43
"grande","grande",43
"inteligente","inteligente",43
"noite","noite",43
"pesquisas","pesquisas",43
"“","“",43
"achando","achando",41
"bozo","bozo",41
"dando","dando",41
"eleitores","eleitores",41
"logo","logo",41
"orçamento","orçamento",41
"sexta","sexta",41
"toda","toda",41
"certeza","certeza",39
"covid","covid",39
"outro","outro",39
"preparada","preparada",39
"falta","falta",38
"ficar","ficar",38
"pior","pior",38
"precisa","precisa",38
"acabar","acabar",37
"dinheiro","dinheiro",37
"fazendo","fazendo",37
"jovempannews","jovempannews",37
"opção","opção",37
"perder","perder",37
"político","político",37
"única","única",37
"difícil","difícil",36
"história","história",36
"impeachment","impeachment",36
"nome","nome",36
"novo","novo",36
"poder","poder",36
"secreto","secreto",36
"terceira","terceira",36
"vem","vem",36
"verdade","verdade",36
"cada","cada",35
"estar","estar",35
"próprio","próprio",35
"vergonha","vergonha",35
"antes","antes",34
"apenas","apenas",34
"gostando","gostando",34
"liberal","liberal",34
"pan","pan",34
"senhora","senhora",34
"tebetnojn","tebetnojn",34
"tipo","tipo",34
"viu","viu",34
"dizendo","dizendo",33
"eleita","eleita",33
"fome","fome",33
"lulaoficial","lulaoficial",33
"ouvir","ouvir",33
"propaganda","propaganda",33
"ruim","ruim",33
"tanto","tanto",33
"vida","vida",33
"agro","agro",32
"direita","direita",32
"entrevistada","entrevistada",32
"nesse","nesse",32
"pai","pai",32
"passar","passar",32
"pouco","pouco",32
"show","show",32
"achei","achei",31
"igual","igual",31
"indo","indo",31
"interessante","interessante",31
"quase","quase",31
"sair","sair",31
"temer","temer",31
"todas","todas",31
"algo","algo",30
"estado","estado",30
"fraca","fraca",30
"governar","governar",30
"hora","hora",30
"horário","horário",30
"meio","meio",30
"saber","saber",30
"tbm","tbm",30
"casa","casa",29
"cirogomes","cirogomes",29
"fraquinha","fraquinha",29
"jeito","jeito",29
"pobre","pobre",29
"vivo","vivo",29
"deveria","deveria",28
"futuro","futuro",28
"melhores","melhores",28
"pmdb","pmdb",28
"pois","pois",28
"polarização","polarização",28
"proposta","proposta",28
"respeito","respeito",28
