"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"1",0,0,1,1,0,1,0,0,1,0,"NEGATIVO"
"2",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"3",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"4",0,0,1,0,0,0,1,1,0,1,"POSITIVO"
"5",2,1,0,1,0,0,0,1,3,1,"NEGATIVO"
"6",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"7",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"8",0,0,3,0,0,1,0,0,4,0,"NEGATIVO"
"9",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"10",1,1,1,1,0,1,0,0,1,0,"NEGATIVO"
"11",1,0,1,0,0,0,0,0,1,0,"NEGATIVO"
"12",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"13",0,1,0,0,0,0,0,0,0,0,"NEUTRO"
"14",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"15",1,0,1,0,0,0,0,0,1,0,"NEGATIVO"
"16",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"17",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"18",1,0,1,1,0,1,0,1,2,0,"NEGATIVO"
"19",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"20",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"21",0,1,0,0,0,0,1,0,1,0,"NEGATIVO"
"22",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"23",2,0,2,2,0,2,0,0,2,0,"NEGATIVO"
"24",0,0,1,0,0,0,0,0,1,0,"NEGATIVO"
"25",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"26",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"27",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"28",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"29",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"30",0,0,1,1,0,1,0,0,1,0,"NEGATIVO"
"31",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"32",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"33",0,1,0,0,3,0,0,0,0,3,"POSITIVO"
"34",1,1,1,1,0,1,0,0,1,0,"NEGATIVO"
"35",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"36",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"37",1,0,1,1,0,0,0,0,1,0,"NEGATIVO"
"38",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"39",0,0,1,0,0,0,0,0,1,0,"NEGATIVO"
"40",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"41",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
