"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"1",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"2",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"3",3,0,3,2,0,3,0,0,3,1,"NEGATIVO"
"4",1,0,0,0,0,0,0,0,0,0,"NEUTRO"
"5",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"6",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"7",0,0,3,0,0,1,0,0,4,0,"NEGATIVO"
"8",0,0,0,0,0,0,1,0,0,0,"NEUTRO"
"9",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"10",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"11",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"12",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"13",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"14",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"15",0,0,0,0,2,0,2,0,1,3,"POSITIVO"
"16",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"17",1,0,1,1,0,1,1,0,1,0,"NEGATIVO"
"18",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"19",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"20",0,0,0,0,0,1,0,0,1,1,"NEUTRO"
"21",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"22",0,2,0,1,1,0,1,1,1,1,"NEUTRO"
"23",0,0,0,0,0,0,0,1,0,3,"POSITIVO"
"24",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"25",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"26",0,0,0,0,0,0,0,2,0,3,"POSITIVO"
"27",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"28",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"29",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"30",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"31",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"32",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"33",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"34",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"35",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"36",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"37",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"38",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"39",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"40",0,0,1,0,0,0,0,0,0,0,"NEUTRO"
"41",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"42",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"43",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"44",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"45",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"46",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"47",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"48",1,0,0,1,0,1,0,0,1,0,"NEGATIVO"
"49",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"50",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"51",1,0,1,1,0,1,1,0,1,0,"NEGATIVO"
"52",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"53",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"54",1,0,1,1,0,1,2,0,1,0,"NEGATIVO"
"55",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"56",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"57",0,0,0,0,0,1,0,0,2,0,"NEGATIVO"
"58",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
