"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"1",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"2",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"3",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"4",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"5",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"6",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"7",0,1,0,0,1,0,0,1,0,1,"POSITIVO"
"8",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"9",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"10",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"11",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"12",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"13",0,0,0,1,0,1,0,2,1,2,"POSITIVO"
"14",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"15",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"16",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"17",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"18",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"19",0,1,0,0,1,1,0,1,1,3,"POSITIVO"
"20",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"21",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"22",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"23",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"24",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"25",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"26",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"27",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"28",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"29",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"30",0,0,1,0,0,0,1,1,0,1,"POSITIVO"
"31",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"32",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"33",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"34",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"35",0,1,0,0,1,0,0,1,0,1,"POSITIVO"
"36",0,1,0,0,0,0,0,0,0,0,"NEUTRO"
"37",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"38",0,1,0,1,0,0,0,0,1,0,"NEGATIVO"
"39",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"40",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"41",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"42",0,1,0,0,1,0,1,0,0,1,"POSITIVO"
"43",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"44",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"45",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"46",1,0,1,1,0,1,0,0,1,0,"NEGATIVO"
"47",0,0,0,0,1,0,0,0,0,2,"POSITIVO"
"48",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"49",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"50",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"51",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"52",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"53",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"54",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"55",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"56",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"57",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"58",0,0,0,0,0,0,0,1,1,0,"NEGATIVO"
