"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"1",1,1,1,1,1,1,0,1,1,1,"NEUTRO"
"2",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"3",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"4",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"5",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"6",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"7",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"8",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"9",0,0,1,0,0,1,0,0,2,0,"NEGATIVO"
"10",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"11",0,1,1,0,1,1,1,1,0,1,"POSITIVO"
"12",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"13",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"14",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"15",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"16",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"17",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"18",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"19",0,1,0,0,0,0,0,0,0,0,"NEUTRO"
"20",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"21",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"22",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"23",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"24",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"25",0,1,0,0,1,0,0,2,0,1,"POSITIVO"
"26",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"27",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"28",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"29",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"30",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"31",0,1,0,0,1,0,0,3,0,3,"POSITIVO"
"32",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"33",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"34",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"35",2,3,2,0,3,0,1,3,1,4,"POSITIVO"
"36",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"37",0,1,0,0,1,1,1,0,2,1,"NEGATIVO"
"38",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"39",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"40",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"41",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"42",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"43",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"44",2,1,1,2,0,1,0,0,3,0,"NEGATIVO"
"45",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"46",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"47",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"48",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"49",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"50",0,1,0,0,1,0,0,1,0,1,"POSITIVO"
"51",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"52",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
